"STUID","Y1E_ST1_1","Y1E_ST21_1","Y1E_ST21_2","Y1E_ST21_3","Y1E_ST25_1","Y1E_ST25_2","Y1E_ST25_3","Y1E_ST25_4","Y1E_ST25_5","Y1E_ENG_VS","Y1E_KOR_VS","Y1E_MATH_VS","Y1E_ST21_1R","Y1E_ST21_2R","Y1E_ST21_3R","성장신념","수업태도","학업성취도"
10001,2,1,2,2,4,4,3,5,4,421.08,405.52,450.43,5,4,4,4.66666666666667,4,425.676666666667
10002,1,2,1,3,3,3,2,2,1,357.45,389.64,319.12,4,5,3,3.66666666666667,2.2,355.403333333333
10003,2,2,2,2,4,4,4,3,3,346.22,385.67,339.64,4,4,4,4,3.6,357.176666666667
10004,2,1,3,3,2,2,2,2,2,372.42,409.48,351.95,5,3,3,4.33333333333333,2,377.95
10005,2,2,3,3,4,3,3,2,2,342.48,381.7,351.95,4,3,3,3.66666666666667,2.8,358.71
10006,2,1,1,1,5,5,4,1,2,368.68,421.39,450.43,5,5,5,5,3.4,413.5
10007,2,3,3,3,3,3,3,1,2,357.45,409.48,495.57,3,3,3,3,2.4,420.833333333333
10008,2,2,2,2,3,4,3,2,2,421.08,353.91,351.95,4,4,4,4,2.8,375.646666666667
10009,2,1,1,1,5,5,4,1,3,346.22,322.16,372.47,5,5,5,5,3.6,346.95
10010,1,2,2,2,4,5,4,1,4,421.08,389.64,466.85,4,4,4,4,3.6,425.856666666667
10011,2,1,2,2,4,3,3,2,3,346.22,389.64,405.29,5,4,4,4.66666666666667,3,380.383333333333
10012,2,1,1,1,4,5,3,2,3,372.42,409.48,405.29,5,5,5,5,3.4,395.73
10013,1,3,2,2,4,4,3,2,5,372.42,361.85,421.71,3,4,4,3.33333333333333,3.6,385.326666666667
10014,2,1,2,2,4,4,4,2,2,334.99,405.52,392.98,5,4,4,4.66666666666667,3.2,377.83
10015,2,3,2,2,5,5,4,3,3,368.68,433.3,421.71,3,4,4,3.33333333333333,4,407.896666666667
10016,1,3,4,4,2,3,5,1,3,334.99,286.43,339.64,3,2,2,2.66666666666667,2.8,320.353333333333
10017,1,1,3,2,4,4,4,3,4,346.22,345.97,351.95,5,3,4,4.66666666666667,3.8,348.046666666667
10018,1,1,1,1,5,5,4,1,5,368.68,433.3,565.33,5,5,5,5,4,455.77
10019,2,2,3,1,2,2,3,3,2,421.08,433.3,565.33,4,3,5,4.33333333333333,2.4,473.236666666667
10020,2,1,2,1,3,3,5,2,2,376.16,401.55,421.71,5,4,5,5,3,399.806666666667
10021,2,1,1,1,5,4,4,1,4,383.65,409.48,450.43,5,5,5,5,3.6,414.52
10022,2,1,4,1,5,5,5,4,5,492.19,389.64,495.57,5,2,5,5,4.8,459.133333333333
10023,2,2,1,1,5,5,5,4,4,492.19,469.03,651.5,4,5,5,4.33333333333333,4.6,537.573333333333
10024,2,1,2,2,5,4,5,3,3,492.19,433.3,495.57,5,4,4,4.66666666666667,4,473.686666666667
10025,2,4,3,2,5,5,4,2,2,421.08,401.55,594.05,2,3,4,2.66666666666667,3.6,472.226666666667
10026,2,1,1,1,5,5,5,3,3,421.08,433.3,594.05,5,5,5,5,4.2,482.81
10027,1,3,1,1,5,5,5,3,3,492.19,469.03,594.05,3,5,5,3.66666666666667,4.2,518.423333333333
10028,1,1,1,1,5,5,5,4,3,421.08,361.85,524.3,5,5,5,5,4.4,435.743333333333
10029,1,1,2,1,5,4,3,3,3,383.65,469.03,434.02,5,4,5,5,3.6,428.9
10030,1,3,2,1,4,4,3,3,3,492.19,385.67,524.3,3,4,5,3.66666666666667,3.4,467.386666666667
10031,1,1,1,1,4,3,3,2,2,421.08,405.52,565.33,5,5,5,5,2.8,463.976666666667
10032,1,1,1,1,4,4,3,4,3,421.08,353.91,372.47,5,5,5,5,3.6,382.486666666667
10033,1,3,3,2,4,3,4,4,3,492.19,453.15,565.33,3,3,4,3.33333333333333,3.6,503.556666666667
10034,1,2,2,3,4,5,5,2,3,492.19,433.3,524.3,4,4,3,3.66666666666667,3.8,483.263333333333
10035,1,2,2,2,3,3,3,3,3,372.42,433.3,421.71,4,4,4,4,3,409.143333333333
10036,1,1,1,1,4,2,4,3,2,492.19,600.02,524.3,5,5,5,5,3,538.836666666667
10037,1,4,4,3,5,4,5,4,2,376.16,405.52,565.33,2,2,3,2.33333333333333,4,449.003333333333
10038,1,1,1,1,4,5,5,3,3,492.19,441.24,524.3,5,5,5,5,4,485.91
10039,1,2,2,2,5,5,5,3,3,421.08,409.48,524.3,4,4,4,4,4.2,451.62
10040,2,1,1,1,4,4,4,4,5,357.45,377.73,434.02,5,5,5,5,4.2,389.733333333333
10041,2,3,4,2,3,5,4,4,2,492.19,421.39,524.3,3,2,4,3.33333333333333,3.6,479.293333333333
10042,2,1,1,1,5,5,5,4,4,492.19,469.03,651.5,5,5,5,5,4.6,537.573333333333
10043,2,1,3,1,5,5,5,4,4,492.19,476.96,565.33,5,3,5,5,4.6,511.493333333333
10044,2,1,1,1,3,3,4,2,4,492.19,433.3,450.43,5,5,5,5,3.2,458.64
10045,2,3,2,2,4,5,5,4,3,492.19,453.15,466.85,3,4,4,3.33333333333333,4.2,470.73
10046,2,1,1,1,5,5,5,4,5,492.19,433.3,524.3,5,5,5,5,4.8,483.263333333333
10047,2,1,1,1,5,4,4,3,3,492.19,409.48,495.57,5,5,5,5,3.8,465.746666666667
10048,2,1,1,1,4,4,4,4,4,376.16,405.52,392.98,5,5,5,5,4,391.553333333333
10049,1,1,2,1,3,3,3,3,1,368.68,338.04,372.47,5,4,5,5,2.6,359.73
10050,1,1,2,2,3,3,4,2,2,492.19,421.39,450.43,5,4,4,4.66666666666667,2.8,454.67
10051,1,2,3,3,4,5,3,4,1,421.08,433.3,594.05,4,3,3,3.66666666666667,3.4,482.81
10052,1,2,2,1,3,4,3,4,4,346.22,286.43,434.02,4,4,5,4.33333333333333,3.6,355.556666666667
10053,1,1,1,1,3,4,3,1,1,421.08,405.52,524.3,5,5,5,5,2.4,450.3
10054,1,1,1,1,5,4,5,3,5,383.65,361.85,466.85,5,5,5,5,4.4,404.116666666667
10055,1,1,1,1,4,2,4,2,3,421.08,433.3,524.3,5,5,5,5,3,459.56
10056,1,1,1,1,3,4,4,4,2,376.16,361.85,524.3,5,5,5,5,3.4,420.77
10057,1,3,3,3,4,3,4,3,3,492.19,365.82,421.71,3,3,3,3,3.4,426.573333333333
10058,1,1,1,1,4,5,4,4,3,492.19,433.3,450.43,5,5,5,5,4,458.64
10059,2,2,3,2,3,2,5,3,4,492.19,409.48,594.05,4,3,4,4,3.4,498.573333333333
10060,2,1,1,1,4,4,4,3,3,492.19,409.48,495.57,5,5,5,5,3.6,465.746666666667
10061,2,2,1,1,4,5,4,4,4,492.19,469.03,450.43,4,5,5,4.33333333333333,4.2,470.55
10062,2,2,3,3,4,4,5,3,3,492.19,492.84,651.5,4,3,3,3.66666666666667,3.8,545.51
10063,2,1,1,1,4,4,4,3,4,492.19,385.67,565.33,5,5,5,5,3.8,481.063333333333
10064,2,3,4,3,3,4,4,2,3,421.08,385.67,434.02,3,2,3,3,3.2,413.59
10065,2,1,5,1,3,4,3,1,3,492.19,524.6,524.3,5,1,5,5,2.8,513.696666666667
10066,2,1,1,1,5,5,5,4,3,492.19,433.3,651.5,5,5,5,5,4.4,525.663333333333
10067,2,1,3,3,3,2,5,2,1,492.19,405.52,450.43,5,3,3,4.33333333333333,2.6,449.38
10068,2,4,3,2,4,4,3,3,3,376.16,353.91,450.43,2,3,4,2.66666666666667,3.4,393.5
10069,2,1,2,2,4,5,5,3,4,492.19,441.24,651.5,5,4,4,4.66666666666667,4.2,528.31
10070,2,2,2,3,3,4,3,2,2,383.65,365.82,594.05,4,4,3,3.66666666666667,2.8,447.84
10071,2,1,2,1,5,5,4,3,3,492.19,600.02,495.57,5,4,5,5,4,529.26
10072,2,1,2,1,4,4,5,3,4,492.19,600.02,651.5,5,4,5,5,4,581.236666666667
10073,2,1,3,2,4,4,4,1,3,492.19,600.02,565.33,5,3,4,4.66666666666667,3.2,552.513333333333
10074,2,2,1,1,5,5,5,4,3,383.65,373.76,594.05,4,5,5,4.33333333333333,4.4,450.486666666667
10075,1,2,1,1,4,4,4,3,2,492.19,476.96,594.05,4,5,5,4.33333333333333,3.4,521.066666666667
10076,1,1,1,1,3,4,4,2,5,492.19,433.3,651.5,5,5,5,5,3.6,525.663333333333
10077,1,1,2,1,5,5,4,5,5,368.68,453.15,392.98,5,4,5,5,4.8,404.936666666667
10078,1,3,3,3,4,4,4,4,4,376.16,600.02,565.33,3,3,3,3,4,513.836666666667
10079,1,1,1,1,5,5,5,5,5,421.08,377.73,524.3,5,5,5,5,5,441.036666666667
10080,1,1,1,1,4,4,4,3,4,376.16,334.07,450.43,5,5,5,5,3.8,386.886666666667
10081,1,3,3,3,5,4,4,5,5,421.08,433.3,495.57,3,3,3,3,4.6,449.983333333333
10082,1,1,1,1,5,5,5,5,5,376.16,421.39,524.3,5,5,5,5,5,440.616666666667
10083,1,1,1,1,3,4,4,4,3,376.16,449.18,495.57,5,5,5,5,3.6,440.303333333333
10084,1,4,5,4,4,3,4,4,4,372.42,286.43,372.47,2,1,2,2,3.8,343.773333333333
